"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"858","UNIRAMA DUTA NIAGA-DAAN MOGOT, PT (WRP)","111172533",2.06694,686.388099546,2022-12-05,NA
"859","UNIRAMA DUTA NIAGA-DAAN MOGOT, PT (WRP)","0877/Titipan/WRP/EBW/XII/2022",0.631,120,2022-12-05,NA
"860","FARMERS MARKET MALL CIPUTRA GROGOL","110407211",0.00768,5.44512,2022-12-06,2022-12-10
"861","RANCH MARKET TAMAN ANGGREK RESIDENCES","110407197",0.00768,5.44512,2022-12-06,2022-12-10
"862","FARMERS MARKET CITRA GARDEN VI","110407202",0.00768,5.44512,2022-12-06,2022-12-10
"863","FARMERS MARKET GREEN SEDAYU MALL","110407212",0.00768,5.44512,2022-12-06,2022-12-10
"864","FARMERS MARKET WANG RESIDENCE","110407210",0.00768,5.44512,2022-12-06,2022-12-10
"865","Gudang Blibli Halim","872003267",0.40707984,78.128976,2022-12-06,2022-12-07
"866","RANCH MARKET LIPPO MALL PURI","110407206",0.00768,5.44512,2022-12-06,NA
"867","RANCH MARKET PESANGGRAHAN","110407198",0.01536,10.89024,2022-12-06,NA
"868","Gudang Lazada Depok (Main WH)","872003268",3.4820358,821.545192028,2022-12-06,2022-12-07
"869","FARMERS MARKET MARGO CITY MALL","110407191",0.05605512,16.39374,2022-12-06,2022-12-10
"870","FARMERS MARKET MARGO CITY MALL","110407207",0.01536,10.89024,2022-12-06,2022-12-10
"871","TIP TOP DEPOK","110407236",0.57604094,210.779940026,2022-12-06,2022-12-10
"872","TIP TOP DEPOK","110407237",0.30827832,71.910904004,2022-12-06,2022-12-10
"873","TIP TOP DEPOK","110407239",0.01872,2.29008,2022-12-06,2022-12-10
"874","TIP TOP DEPOK","110407238",0.63625296,157.013148072,2022-12-06,2022-12-10
"875","CIBINONG CENTER INDUSTRIAL ESTATE , PT","110407117",0.43938888,161.621496,2022-12-05,NA
"876","FARMERS FAMILY CILEUNGSI METLAND TRANSYO","110407213",0.00768,5.44512,2022-12-06,2022-12-10
"877","GS SUPERMARKET CIBUBUR","110407125",0.08949408,20.450600004,2022-12-06,2022-12-10
"878","SAT Cileungsi 2","110407063",0.55549896,173.48688,2022-12-05,NA
"879","SAT Cileungsi 2","110407064",0.46324992,75.987888,2022-12-05,NA
"880","FARMERS MARKET SUMARECON MALL","110407201",0.01536,10.89024,2022-12-06,2022-12-10
"881","LULU HYPERMART BSD","110407247",0.1587492,50.29524,2022-12-06,2022-12-08
"882","SAT DC SERANG","110407060",0.04887996,24.644720004,2022-12-05,NA
"883","SAT DC SERANG","110407062",0.5006352,66.139044024,2022-12-05,NA
"884","INDOMARCO DC LEBAK","110407131",0.25484808,47.370220008,2022-12-06,2022-12-09
"885","INDOMARCO DC LEBAK","110407132",0.40716,133.34508,2022-12-06,2022-12-09
"886","SAT DC BALARAJA","110407068",0.13777968,29.860000008,2022-12-05,NA
"887","SAT DC BALARAJA","110407069",0.8477448,132.897252048,2022-12-05,NA
"888","SAT DC BALARAJA","110407070",0.0096,1.22004,2022-12-05,NA
"889","SAT DC DEPO BALARAJA","110407065",0.31216176,51.082404024,2022-12-05,NA
"890","SAT DC DEPO BALARAJA","110407066",0.22398948,50.7,2022-12-05,NA
"891","SAT DC DEPO BALARAJA","110407067",0.03096,15.70608,2022-12-05,NA
"892","HYPERMART CILEGON","110406805",0.05711978,7.688220004,2022-11-30,2022-12-06
"893","FARMERS MARKET CITRA LAKE SAWANGAN","110407204",0.00768,5.44512,2022-12-06,2022-12-10
"894","SAT DC PARUNG","110407057",0.66896916,296.612800008,2022-12-05,NA
"895","SAT DC PARUNG","110407058",0.6665136,98.293308,2022-12-05,NA
"896","SAT DC PARUNG","110407059",0.18576,94.23648,2022-12-05,NA
"897","INDOMARCO DC PARUNG","110407033",0.04248,11.89008,2022-12-05,2022-12-08
"898","TIP TOP CIPUTAT","110407233",0.35397654,57.288960012,2022-12-06,2022-12-10
"899","TIP TOP CIPUTAT","110407234",0.10098,48.07818,2022-12-06,2022-12-10
"900","TIP TOP CIPUTAT","110407235",1.041644,272.00152,2022-12-06,2022-12-10
"901","LULU HYPERMARKET THE PARK MALL SAW","110407246",0.08963952,28.366030008,2022-12-06,2022-12-09
"902","FARMERS FAMILY BUARAN","110407214",0.00768,5.44512,2022-12-06,2022-12-10
"903","GUDANG ECOMM PISANGAN","872003273",1.9116354,516.675556,2022-12-06,2022-12-06
"904","FARMERS FAMILY PONDOK KOPI","110407216",0.00768,5.44512,2022-12-06,2022-12-10
"905","NAGA SWALAYAN TB SIMATUPANG","110407240",0.42403035,92.153244006,2022-12-06,NA
"906","NAGA SWALAYAN TB SIMATUPANG","110407241",0.1352112,26.472996,2022-12-06,NA
"907","NAGA SWALAYAN TB SIMATUPANG","110407242",0.51181704,153.27492158,2022-12-06,NA
"908","NAGA SWALAYAN TB SIMATUPANG","110407243",0.0546,20.77128,2022-12-06,NA
"909","RANCH 99 PONDOK INDAH","110407192",0.00768,5.44512,2022-12-06,2022-12-10
"910","RANCH MARKET PONDOK INDAH MALL 3","110407199",0.00768,5.44512,2022-12-06,NA
"911","ANEKA BUANA FATMAWATI","110407249",1.45513656,699.205119552,2022-12-06,2022-12-08
"912","GRAND LUCKY - LIVING PLAZA","110407245",0.16354404,34.598316,2022-12-06,2022-12-13
"913","FARMERS EPICENTRUM","110407200",0.01536,10.89024,2022-12-06,2022-12-10
"914","FOODMART FRESH SEMANGGI","110407021",0.00792,5.35368,2022-12-05,2022-12-10
"915","RANCH LOTTE SHOPPING AVENUE","110407196",0.01536,10.89024,2022-12-06,2022-12-10
"916","RANCH MARKET 99 OAKWOOD","110407187",0.01004568,6.698004,2022-12-06,2022-12-09
"917","RANCH MARKET DISTRICT 8","110407189",0.054,14.44896,2022-12-06,2022-12-10
"918","RANCH MARKET DISTRICT 8","110407195",0.00768,5.44512,2022-12-06,2022-12-10
"919","FOODHALL DAILY FX LIFE STYLE","110407134",0.03067512,21.787120008,2022-12-06,2022-12-12
"920","FOODHALL DAILY FH BELLAGIO","110407133",0.09202536,65.361360024,2022-12-06,2022-12-12
"921","FARMERS FAMILY BLOK M PLAZA","110407186",0.00768,5.44512,2022-12-06,2022-12-10
"922","FARMERS MARKET ONE BELL PARK","110407203",0.00768,5.44512,2022-12-06,2022-12-10
"923","RANCH 99 DARMAWANGSA","110407193",0.00768,5.44512,2022-12-06,2022-12-10
"924","RANCH MARKET KEMANG","110407194",0.00768,5.44512,2022-12-06,2022-12-10
"925","Reza Andriyanto","1849/PBI/QBL/XII/2022",0.1,NA,NA,NA
"926","GRAND LUCKY - RADIO DALAM","110407248",0.3319512,129.855643992,2022-12-06,2022-12-13
"927","FARMERS KALIBATA CITY SQUARE","110407190",0.0949758,35.044564008,2022-12-06,2022-12-10
"928","FARMERS KALIBATA CITY SQUARE","110407205",0.00768,5.44512,2022-12-06,2022-12-10
"929","Raguel Lewi","1867/PBI/QBL/XII/2022",0.1,NA,NA,NA
"930","AEON TANJUNG BARAT","110407127",0.06396,13.04376,2022-12-06,NA
"931","AEON TANJUNG BARAT","110407128",0.00936,6.216,2022-12-06,NA
"932","AEON TANJUNG BARAT","110407227",0.00768,5.44608,2022-12-06,NA
"933","FOODHALL DAILY TMII","110407244",0.10436136,23.502239004,2022-12-06,2022-12-13
"934","Aone Hotel Jakarta","1869/PBI/QBT/XII/2022",0.1,NA,NA,NA
"935","EXERTAINMENT INDONESIA-PLAZA INDONESIA","110407102",0.02376,16.06104,2022-12-05,2022-12-13
"936","FARMERS FAMILY APARTEMEN MEDITERANIA KMY","110407188",0.00768,5.44512,2022-12-06,2022-12-10
"937","HARI HARI LOKASARI","110407218",0.03576,3.85992,2022-12-06,2022-12-09
"938","HARI HARI LOKASARI","110407219",0.30851862,101.537559996,2022-12-06,2022-12-09
